StrandDiameter,Strands,A,AirGap,B,C,Current,D,E,Frequency,phi_A,phi_B,Turns,StrandedLossAC,CoreLoss,L,CoreType
0.103,150,32.0,1.566,30.4,21.3,2.65,22.0,19.0,332,13.4,27.5,34,9125.31559815792,3600.87,186.998486892137,PQ32/30
0.2,60,32.0,0.856,30.4,21.3,6.1,22.0,19.0,83,13.4,27.5,17,2390.16562984391,1417.5500000000002,76.129861734819,PQ32/30
0.111,350,40.5,1.776,39.8,29.5,5.56,28.0,28.0,288,14.9,37.0,19,9928.80085381348,5696.61,66.33355472257749,PQ40/40
0.109,250,32.0,1.287,20.5,11.5,5.67,22.0,19.0,299,13.4,27.5,14,8130.29980063526,1985.99,35.9162184020553,PQ32/20
0.092,200,32.0,1.851,20.5,11.5,2.81,22.0,19.0,421,13.4,27.5,19,3804.8439515129,582.186,48.8973180220833,PQ32/20
0.108,150,32.0,1.853,30.4,21.3,5.25,22.0,19.0,303,13.4,27.5,22,9615.10128606208,4138.81,68.5777215635632,PQ32/30
0.106,100,32.0,1.869,30.4,21.3,3.9,22.0,19.0,314,13.4,27.5,31,9894.20122304457,4855.35,135.11504451991001,PQ32/30
0.137,300,65.0,0.587,60.0,42.0,3.23,45.0,40.8,92,26.0,55.0,23,1263.02337926937,9073.13,653.364861576813,PQ65/60
0.121,120,40.5,0.564,30.3,20.0,2.71,28.0,28.0,241,14.9,37.0,20,1393.12322823135,5931.63,182.482053393167,PQ40/30
0.086,50,26.5,1.559,20.2,11.5,5.49,19.0,15.5,477,12.0,22.5,9,894.580347471407,661.514,10.2162615667841,PQ26/20
0.05,400,26.5,0.135,24.8,16.1,0.68,19.0,15.5,136,12.0,22.5,17,7.6032083529582,481.751,303.387695121282,PQ26/25
0.095,350,26.5,1.057,24.8,16.1,6.45,19.0,15.5,395,12.0,22.5,10,4783.64315355332,2947.74,17.8251111469709,PQ26/25
0.082,40,20.5,1.013,16.2,10.3,2.43,14.0,12.5,519,8.8,18.0,12,281.475014144134,298.779,15.1128924031225,PQ20/16
0.135,50,20.5,0.902,16.2,10.3,3.95,14.0,12.5,194,8.8,18.0,22,3311.06572347799,1117.4,55.926141781574,PQ20/16
0.111,20,65.0,1.056,60.0,42.0,4.99,45.0,40.8,285,26.0,55.0,12,1982.46797362995,11045.7,107.35188750739,PQ65/60
0.137,80,26.5,0.901,20.2,11.5,3.18,19.0,15.5,187,12.0,22.5,25,5168.86483582372,1409.53,125.212698282109,PQ26/20
0.14,100,35.1,1.173,34.8,25.0,12.39,26.0,23.5,181,14.3,32.0,9,2605.0360836948203,5203.2,18.7762732852087,PQ35/35
0.2,100,40.5,0.733,39.8,29.5,4.97,28.0,28.0,72,14.9,37.0,19,1645.90680569585,2024.82,133.194838157834,PQ40/40
0.078,10,20.5,2.378,20.2,14.3,1.09,14.0,12.5,578,8.8,18.0,66,1501.23708498059,938.789,239.18139806281,PQ20/20
0.081,600,32.0,0.699,20.5,11.5,2.68,22.0,19.0,537,13.4,27.5,8,824.895504043642,703.504,19.6263255437749,PQ32/20
0.093,150,20.5,1.503,16.2,10.3,3.56,14.0,12.5,412,8.8,18.0,12,1228.46639746908,232.167,10.9690648728121,PQ20/16
0.069,600,32.0,0.941,30.4,21.3,1.72,22.0,19.0,578,13.4,27.5,16,1013.85440896724,1251.91,62.345788687583,PQ32/30
0.097,500,26.5,1.212,24.8,16.1,7.73,19.0,15.5,372,12.0,22.5,9,6774.02451228328,2403.62,12.9036106692575,PQ26/25
0.174,200,26.5,0.343,24.8,16.1,4.49,19.0,15.5,116,12.0,22.5,7,449.417881122143,576.163,22.7199602831759,PQ26/25
0.097,50,16.4,0.619,11.6,6.7,1.44,11.2,9.6,376,7.0,14.4,25,898.95935115206,392.987,64.4712811652417,PQ16/11.6
0.08,600,107.0,2.397,87.0,56.0,10.43,70.0,72.5,554,41.0,93.7,7,2593.90747551631,31326.399999999998,42.4437526702493,PQ107/87
0.083,200,20.5,1.35,20.2,14.3,2.7,14.0,12.5,516,8.8,18.0,15,1463.14456799311,522.27,19.308984185371,PQ20/20
0.111,80,40.5,0.578,39.8,29.5,0.59,28.0,28.0,102,14.9,37.0,93,414.476621202056,1561.78,3875.8733952682,PQ40/40
0.103,150,35.1,0.384,34.8,25.0,0.77,26.0,23.5,234,14.3,32.0,43,613.6153046895199,3858.64,1079.24094414391,PQ35/35
0.094,40,40.5,1.175,30.3,20.0,0.92,28.0,28.0,403,14.9,37.0,39,463.00327088052,1019.59,377.763567770708,PQ40/30
0.2,400,50.0,0.969,40.0,26.1,17.92,32.0,31.5,48,20.0,44.0,7,2495.45368315417,1718.53,24.1773796142633,PQ50/40
0.2,50,35.1,1.778,34.8,25.0,10.56,26.0,23.5,55,14.3,32.0,20,3917.71366841251,1313.99,66.9327146596696,PQ35/35
0.2,60,40.5,1.3,30.3,20.0,6.14,28.0,28.0,88,14.9,37.0,26,7631.3437342753405,2540.18,155.297704115183,PQ40/30
0.08,100,20.5,1.058,20.2,14.3,0.87,14.0,12.5,555,8.8,18.0,36,1068.9676147529901,503.019,134.699882787145,PQ20/20
0.082,300,20.5,0.683,20.2,14.3,2.05,14.0,12.5,523,8.8,18.0,10,385.029911218306,368.681,14.7569819849145,PQ20/20
0.106,180,32.0,1.697,20.5,11.5,5.64,22.0,19.0,315,13.4,27.5,17,9980.22468460458,1958.69,42.0916965066631,PQ32/20
0.085,60,20.5,1.732,20.2,14.3,3.88,14.0,12.5,483,8.8,18.0,14,908.700537768903,612.781,13.8389384020133,PQ20/20
0.117,300,40.5,1.351,39.8,29.5,4.11,28.0,28.0,260,14.9,37.0,20,5553.18731544473,4173.38,90.6714242011543,PQ40/40
0.113,500,35.1,0.713,34.8,25.0,4.22,26.0,23.5,269,14.3,32.0,10,1512.31670604213,2401.86,34.663299645037604,PQ35/35
0.101,200,26.5,1.463,24.8,16.1,4.09,19.0,15.5,349,12.0,22.5,21,9747.66230629614,2513.62,60.250936273264,PQ26/25
0.137,60,32.0,0.294,30.4,21.3,0.84,22.0,19.0,187,13.4,27.5,33,346.245629381758,2163.92,710.070743656177,PQ32/30
0.13,100,26.5,1.873,20.2,11.5,7.05,19.0,15.5,210,12.0,22.5,23,22737.8232455901,2238.43,57.2616023382329,PQ26/20
0.2,50,107.0,2.098,87.0,56.0,3.58,70.0,72.5,75,41.0,93.7,68,14823.000175098301,25601.3,4481.75942086683,PQ107/87
0.2,80,40.5,2.019,39.8,29.5,11.76,28.0,28.0,52,14.9,37.0,22,6198.59765647077,1931.59,80.8011257196508,PQ40/40
0.136,10,32.0,2.041,20.5,11.5,1.76,22.0,19.0,190,13.4,27.5,110,15011.6402175963,3185.09,1512.70510640856,PQ32/20
0.086,150,20.5,0.248,16.2,10.3,0.51,14.0,12.5,444,8.8,18.0,15,44.069026193997196,151.24099999999999,77.4923107144292,PQ20/16
0.077,250,32.0,1.749,30.4,21.3,1.48,22.0,19.0,598,13.4,27.5,34,4678.37990403399,1778.45,171.232040021228,PQ32/30
0.149,120,32.0,1.022,20.5,11.5,7.83,22.0,19.0,158,13.4,27.5,12,4808.4509311598,1575.78,32.0387102759316,PQ32/20
0.163,10,26.5,1.149,24.8,16.1,0.71,19.0,15.5,133,12.0,22.5,147,5226.70840424474,1176.5,3596.75826592089,PQ26/25
0.084,600,26.5,1.1,20.2,11.5,4.43,19.0,15.5,496,12.0,22.5,7,1601.27152019407,446.235,8.28545322345389,PQ26/20
0.08,200,26.5,0.922,20.2,11.5,2.91,19.0,15.5,549,12.0,22.5,9,532.89465212577,507.587,15.8999838063951,PQ26/20
0.165,100,35.1,1.226,34.8,25.0,6.61,26.0,23.5,130,14.3,32.0,18,4719.99709721848,3051.96,72.5689812311449,PQ35/35
0.096,40,32.0,1.374,30.4,21.3,0.66,22.0,19.0,385,13.4,27.5,126,7891.96814241515,4992.639999999999,2850.43437811103,PQ32/30
0.192,60,35.1,2.428,34.8,25.0,9.78,26.0,23.5,96,14.3,32.0,30,26104.348320171797,4527.0599999999995,118.43991714808399,PQ35/35
0.117,30,16.4,0.559,11.6,6.7,2.26,11.2,9.6,259,7.0,14.4,15,350.12361789356,211.947,25.2802087398233,PQ16/11.6
0.12,120,26.5,1.37,20.2,11.5,6.73,19.0,15.5,245,12.0,22.5,18,12498.2208625313,2759.54,45.5648521675332,PQ26/20
0.113,120,32.0,2.48,30.4,21.3,5.81,22.0,19.0,278,13.4,27.5,25,13159.1411827841,3550.0,70.3769991544897,PQ32/30
0.08,30,20.5,1.74,20.2,14.3,3.95,14.0,12.5,548,8.8,18.0,13,813.704810471849,659.023,11.8782977020131,PQ20/20
0.096,60,20.5,2.047,20.2,14.3,2.94,14.0,12.5,381,8.8,18.0,41,9516.67394080072,2298.61,104.049155302722,PQ20/20
0.197,250,50.0,2.02,50.0,36.1,19.94,32.5,31.5,91,20.0,44.0,12,23624.5173678433,8086.88,39.654903255895604,PQ50/50
0.092,300,20.5,0.293,16.2,10.3,1.3,14.0,12.5,418,8.8,18.0,7,67.8413435580909,144.447,14.589010690246099,PQ20/16
0.089,200,50.0,0.902,40.0,26.1,0.81,32.0,31.5,449,20.0,44.0,35,1038.48428096135,2453.03,640.2938251576339,PQ50/40
0.123,100,50.0,2.318,50.0,36.1,2.45,32.5,31.5,235,20.0,44.0,84,47747.7557955254,23912.0,1744.10225511763,PQ50/50
0.164,30,50.0,1.295,50.0,36.1,2.25,32.5,31.5,132,20.0,44.0,55,3966.73148673693,7266.89,1186.69581562291,PQ50/50
0.152,350,40.5,1.376,30.3,20.0,13.08,28.0,28.0,153,14.9,37.0,9,8165.48972934461,2849.46,17.776060799435502,PQ40/30
0.085,50,65.0,0.742,60.0,42.0,1.63,45.0,40.8,493,26.0,55.0,13,186.13309019975,4203.45,169.94010833835,PQ65/60
0.197,40,26.5,1.152,20.2,11.5,6.95,19.0,15.5,91,12.0,22.5,20,6546.5797537933,921.61,65.1291380800524,PQ26/20
0.2,80,26.5,0.267,20.2,11.5,2.54,19.0,15.5,31,12.0,22.5,12,60.501376610959596,68.4864,83.2940823432856,PQ26/20
0.078,300,35.1,2.482,34.8,25.0,2.27,26.0,23.5,575,14.3,32.0,31,7278.72353494306,2817.61,124.195692483905,PQ35/35
0.135,300,50.0,0.906,50.0,36.1,10.42,32.5,31.5,194,20.0,44.0,8,2511.1068022425898,11245.7,33.6199818051132,PQ50/50
0.079,180,32.0,2.01,20.5,11.5,5.0,22.0,19.0,566,13.4,27.5,13,3521.58440648223,1397.92,21.3890828076634,PQ32/20
0.086,180,16.4,0.565,11.6,6.7,1.81,11.2,9.6,481,7.0,14.4,9,235.428059803171,91.313,9.00688665415309,PQ16/11.6
0.09,40,20.5,2.143,16.2,10.3,1.81,14.0,12.5,433,8.8,18.0,34,1796.45659313649,312.648,65.8583430756383,PQ20/16
0.112,20,16.4,1.969,11.6,6.7,2.62,11.2,9.6,283,7.0,14.4,44,5632.96218290106,394.175,76.56575384851071,PQ16/11.6
0.085,100,16.4,2.466,11.6,6.7,3.56,11.2,9.6,493,7.0,14.4,20,4286.16873625954,178.32500000000002,13.0504070370405,PQ16/11.6
0.11,250,32.0,0.318,30.4,21.3,2.74,22.0,19.0,292,13.4,27.5,7,155.25936853845099,1540.99,29.7803134984569,PQ32/30
0.082,60,16.4,1.074,11.6,6.7,1.56,11.2,9.6,520,7.0,14.4,20,627.383928646796,145.201,26.1902291593792,PQ16/11.6
0.2,150,65.0,2.432,60.0,42.0,15.36,45.0,40.8,81,26.0,55.0,20,31128.5855428793,13027.6,150.63101431746801,PQ65/60
0.129,40,65.0,1.192,60.0,42.0,5.13,45.0,40.8,213,26.0,55.0,20,2337.65634787121,20341.5,269.678607072062,PQ65/60
0.093,50,26.5,1.915,24.8,16.1,0.61,19.0,15.5,411,12.0,22.5,91,4152.57109246768,597.715,909.065703066796,PQ26/25
0.094,80,26.5,1.704,24.8,16.1,1.08,19.0,15.5,401,12.0,22.5,45,2596.92871832604,512.637,244.38311290938898,PQ26/25
0.182,600,65.0,0.653,60.0,42.0,7.33,45.0,40.8,107,26.0,55.0,8,2224.74383911478,5087.83,71.96148616082581,PQ65/60
0.2,50,32.0,1.123,20.5,11.5,6.07,22.0,19.0,27,13.4,27.5,23,1092.72826534589,138.661,108.72790908315099,PQ32/20
0.102,180,65.0,2.12,60.0,42.0,11.14,45.0,40.8,342,26.0,55.0,12,6238.06293611544,28142.0,60.4944398744831,PQ65/60
0.093,300,32.0,2.464,20.5,11.5,3.57,22.0,19.0,410,13.4,27.5,20,9837.33342539063,637.153,42.7677560954252,PQ32/20
0.136,40,32.0,2.406,30.4,21.3,3.38,22.0,19.0,190,13.4,27.5,64,24584.1649461525,5249.150000000001,472.793104639734,PQ32/30
0.091,200,26.5,1.347,24.8,16.1,1.97,19.0,15.5,427,12.0,22.5,22,2600.30105507896,703.2199999999999,70.6938949519263,PQ26/25
0.095,120,40.5,2.331,30.3,20.0,2.0,28.0,28.0,392,14.9,37.0,68,25943.1521757581,8032.48,671.5137344611411,PQ40/30
0.107,350,40.5,2.436,39.8,29.5,6.92,28.0,28.0,310,14.9,37.0,21,19882.4429289387,8112.51,63.9312203903919,PQ40/40
0.105,60,20.5,0.565,16.2,10.3,1.46,14.0,12.5,321,8.8,18.0,24,715.262404303305,725.74,97.94140106133001,PQ20/16
0.122,60,32.0,1.964,30.4,21.3,7.06,22.0,19.0,239,13.4,27.5,27,13713.414455542,8588.789999999999,98.6412127977971,PQ32/30
0.098,180,35.1,1.99,34.8,25.0,10.79,26.0,23.5,367,14.3,32.0,11,5248.6681967081,7688.37,18.5391249758231,PQ35/35
0.133,50,40.5,1.433,39.8,29.5,1.69,28.0,28.0,200,14.9,37.0,72,7385.58902287159,6435.89,1123.30559746375,PQ40/40
0.088,350,26.5,0.422,24.8,16.1,0.87,19.0,15.5,456,12.0,22.5,14,234.96695021159,358.194,75.7607371934393,PQ26/25
0.1,300,35.1,0.332,34.8,25.0,1.12,26.0,23.5,339,14.3,32.0,18,350.970371927698,2871.71,213.57426106065898,PQ35/35
0.101,120,50.0,1.687,40.0,26.1,8.12,32.0,31.5,348,20.0,44.0,13,3883.96062681772,12716.6,52.6793361152894,PQ50/40
0.085,150,20.5,1.418,20.2,14.3,2.12,14.0,12.5,487,8.8,18.0,20,1553.28855687785,481.765,33.029859059545004,PQ20/20
0.098,150,40.5,1.917,30.3,20.0,2.14,28.0,28.0,367,14.9,37.0,51,16106.9075148264,5942.09,439.498954088405,PQ40/30
0.079,350,26.5,1.401,20.2,11.5,2.29,19.0,15.5,562,12.0,22.5,18,4100.82168998722,696.945,44.7298901582133,PQ26/20
0.161,120,32.0,0.228,30.4,21.3,1.95,22.0,19.0,108,13.4,27.5,11,91.9469010631455,720.565,98.3844788472417,PQ32/30
0.116,350,26.5,1.173,24.8,16.1,7.58,19.0,15.5,264,12.0,22.5,9,4728.2597415112405,1315.58,13.2487664529309,PQ26/25
0.106,500,35.1,2.351,34.8,25.0,12.7,26.0,23.5,315,14.3,32.0,11,17696.1157113367,6378.45,16.3143878683554,PQ35/35
0.107,30,32.0,2.333,30.4,21.3,7.75,22.0,19.0,307,13.4,27.5,18,4568.7936787647495,4347.71,38.2983346867483,PQ32/30
0.112,50,16.4,0.887,11.6,6.7,2.78,11.2,9.6,281,7.0,14.4,19,1450.21673881611,286.224,27.6618616682077,PQ16/11.6
0.189,80,26.5,0.418,20.2,11.5,3.53,19.0,15.5,99,12.0,22.5,14,1173.6242543169199,713.111,76.2401883450425,PQ26/20
0.087,600,32.0,2.119,30.4,21.3,5.48,22.0,19.0,465,13.4,27.5,11,4985.31741607228,1211.54,15.413385153668699,PQ32/30
0.078,600,40.5,2.473,30.3,20.0,4.03,28.0,28.0,578,14.9,37.0,18,9483.28126599037,2744.51,44.912794859969104,PQ40/30
0.105,300,32.0,1.425,30.4,21.3,6.22,22.0,19.0,320,13.4,27.5,13,5717.039788261501,3061.83,29.4585281522816,PQ32/30
0.12,300,35.1,1.59,34.8,25.0,13.09,26.0,23.5,245,14.3,32.0,11,12048.1445107377,9444.699999999999,22.0755544588535,PQ35/35
0.124,20,20.5,2.094,20.2,14.3,3.25,14.0,12.5,228,8.8,18.0,62,13937.7277316982,3184.09,233.842329542036,PQ20/20
0.166,20,20.5,0.557,16.2,10.3,1.96,14.0,12.5,128,8.8,18.0,24,489.504509343559,301.342,99.24330255121271,PQ20/16
0.171,350,50.0,1.977,40.0,26.1,15.35,32.0,31.5,121,20.0,44.0,11,18954.2983085124,4443.7699999999995,33.1705830926008,PQ50/40
0.145,80,35.1,2.391,34.8,25.0,7.77,26.0,23.5,167,14.3,32.0,27,15898.025897743199,5521.13,97.0580482393812,PQ35/35
0.119,500,35.1,1.603,34.8,25.0,12.34,26.0,23.5,251,14.3,32.0,8,6924.59627972999,3652.1,11.5910919558027,PQ35/35
0.095,200,65.0,1.694,60.0,42.0,1.09,45.0,40.8,277,26.0,55.0,98,14680.1525377238,17105.0,4839.99833230486,PQ65/60
0.11,50,16.4,0.698,11.6,6.7,1.87,11.2,9.6,292,7.0,14.4,22,1031.53513305081,270.931,45.2049611119205,PQ16/11.6
0.146,250,40.5,0.783,30.3,20.0,9.08,28.0,28.0,165,14.9,37.0,8,2068.82419821704,3076.44,22.1842949994823,PQ40/30
0.122,150,26.5,1.036,20.2,11.5,7.36,19.0,15.5,236,12.0,22.5,13,7297.22192610968,2557.01,30.0913220541744,PQ26/20
0.2,50,40.5,2.302,30.3,20.0,8.77,28.0,28.0,25,14.9,37.0,32,2917.62756173918,337.202,150.101440773336,PQ40/30
0.098,300,26.5,1.558,24.8,16.1,7.89,19.0,15.5,364,12.0,22.5,12,9669.9455275926,3051.25,18.7040900898338,PQ26/25
0.126,350,40.5,1.002,39.8,29.5,10.91,28.0,28.0,221,14.9,37.0,8,3032.26272818671,6725.79,18.3473182434386,PQ40/40
0.096,30,65.0,0.447,60.0,42.0,3.27,45.0,40.8,381,26.0,55.0,8,496.263026619552,14568.3,99.6213304537455,PQ65/60
0.2,120,32.0,0.352,30.4,21.3,7.03,22.0,19.0,22,13.4,27.5,6,65.7123958926197,85.3547,20.1145465579073,PQ32/30
0.165,350,40.5,0.486,39.8,29.5,6.59,28.0,28.0,129,14.9,37.0,7,718.289280750188,2218.64,25.3722153901121,PQ40/40
0.148,180,40.5,2.097,39.8,29.5,8.17,28.0,28.0,162,14.9,37.0,23,19234.732866519098,6367.81,85.8797108583167,PQ40/40
0.084,120,32.0,1.329,20.5,11.5,0.7,22.0,19.0,506,13.4,27.5,60,4664.66701879687,891.981,642.010983771877,PQ32/20
0.099,350,40.5,2.103,30.3,20.0,11.71,28.0,28.0,362,14.9,37.0,11,11540.548521462,7386.51,19.0066251577805,PQ40/30
0.082,350,40.5,2.116,39.8,29.5,6.53,28.0,28.0,522,14.9,37.0,10,2058.06718785928,3336.93,16.1036196341387,PQ40/40
0.096,80,40.5,2.311,30.3,20.0,7.91,28.0,28.0,380,14.9,37.0,17,5514.7240915882,7438.25,42.2042258747841,PQ40/30
0.101,60,35.1,2.187,34.8,25.0,4.87,26.0,23.5,346,14.3,32.0,28,6049.16879026307,8215.91,111.733313833377,PQ35/35
0.2,20,50.0,1.875,50.0,36.1,17.19,32.5,31.5,27,20.0,44.0,14,6506.83491577419,1033.26,57.2353747343602,PQ50/50
0.092,40,20.5,2.422,16.2,10.3,1.19,14.0,12.5,421,8.8,18.0,59,3743.90899278669,324.487,179.115849818421,PQ20/16
0.095,30,16.4,1.284,11.6,6.7,1.49,11.2,9.6,392,7.0,14.4,52,4776.44267620408,654.322,152.9315477719,PQ16/11.6
0.078,180,26.5,2.481,24.8,16.1,3.47,19.0,15.5,579,12.0,22.5,21,5534.46182602344,1319.37,39.1817505576753,PQ26/25
0.197,20,20.5,0.677,20.2,14.3,2.72,14.0,12.5,91,8.8,18.0,29,1220.98393490829,518.473,125.153547537368,PQ20/20
0.113,400,40.5,2.028,39.8,29.5,7.84,28.0,28.0,274,14.9,37.0,16,12803.0154667687,6266.77,42.5434262455914,PQ40/40
0.2,350,107.0,2.039,87.0,56.0,15.34,70.0,72.5,22,41.0,93.7,16,2666.80819985618,2948.7,254.222034139969,PQ107/87
0.138,200,35.1,0.15,34.8,25.0,1.18,26.0,23.5,184,14.3,32.0,11,58.6780618329944,1764.6599999999999,157.72325391842,PQ35/35
0.09,200,26.5,2.236,20.2,11.5,4.96,19.0,15.5,439,12.0,22.5,14,4851.74436315623,626.793,18.249952975194198,PQ26/20
0.191,300,40.5,0.444,39.8,29.5,7.88,28.0,28.0,38,14.9,37.0,7,169.870567250316,459.343,27.4014950697998,PQ40/40
0.112,50,20.5,1.56,20.2,14.3,2.49,14.0,12.5,281,8.8,18.0,36,4192.07409543872,1059.21,99.3441749880756,PQ20/20
0.12,350,50.0,1.75,50.0,36.1,6.11,32.5,31.5,246,20.0,44.0,25,28143.053406627,21046.600000000002,192.607387110691,PQ50/50
0.102,200,40.5,2.476,30.3,20.0,4.05,28.0,28.0,337,14.9,37.0,35,23565.0518907194,6010.349999999999,169.827273308419,PQ40/30
0.089,120,32.0,2.135,20.5,11.5,1.16,22.0,19.0,447,13.4,27.5,53,8007.21250113692,685.5360000000001,338.294412333474,PQ32/20
0.099,300,26.5,0.971,20.2,11.5,4.65,19.0,15.5,363,12.0,22.5,12,4646.32875374996,1598.01,27.0715644658485,PQ26/20
0.097,600,32.0,0.294,30.4,21.3,3.83,22.0,19.0,148,13.4,27.5,7,117.229179122345,1292.04,31.9432191542688,PQ32/30
0.158,250,50.0,2.332,40.0,26.1,14.41,32.0,31.5,142,20.0,44.0,14,24296.9392679981,6765.0,47.0508424701443,PQ50/40
0.138,120,35.1,2.033,34.8,25.0,8.64,26.0,23.5,186,14.3,32.0,21,14450.7817581691,6364.2,66.4690971947302,PQ35/35
0.1,120,26.5,1.402,20.2,11.5,2.4,19.0,15.5,353,12.0,22.5,33,9699.512979646279,1705.6899999999998,150.236158688355,PQ26/20
0.115,350,26.5,0.83,20.2,11.5,6.58,19.0,15.5,267,12.0,22.5,8,3202.1234153974397,1108.35,13.7472093034517,PQ26/20
0.154,120,32.0,0.306,30.4,21.3,4.79,22.0,19.0,149,13.4,27.5,6,168.728280922919,1433.06,22.6716371192688,PQ32/30
0.096,250,20.5,0.117,20.2,14.3,0.88,14.0,12.5,382,8.8,18.0,8,27.67330527468,636.784,42.047374209694,PQ20/20
0.079,60,16.4,1.218,11.6,6.7,2.96,11.2,9.6,569,7.0,14.4,12,570.409925356667,182.381,8.50044518434699,PQ16/11.6
0.125,30,40.5,0.387,30.3,20.0,4.62,28.0,28.0,227,14.9,37.0,8,418.410673850416,4525.0,40.2656219624318,PQ40/30
0.136,100,35.1,0.762,34.8,25.0,5.25,26.0,23.5,192,14.3,32.0,13,1256.19349310862,3972.36,55.5361461660594,PQ35/35
0.138,80,32.0,1.022,30.4,21.3,3.02,22.0,19.0,184,13.4,27.5,32,5482.06309553594,3530.67,233.562837979139,PQ32/30
0.131,500,50.0,1.841,50.0,36.1,18.47,32.5,31.5,207,20.0,44.0,9,17431.1281342082,17302.5,23.984164481906,PQ50/50
0.17,10,40.5,0.745,30.3,20.0,4.58,28.0,28.0,122,14.9,37.0,14,1105.90675193247,1426.75,70.7665068644689,PQ40/30
0.085,20,16.4,1.482,11.6,6.7,0.57,11.2,9.6,488,7.0,14.4,74,1304.82301528246,140.392,274.816329114212,PQ16/11.6
0.081,40,16.4,1.905,11.6,6.7,1.19,11.2,9.6,541,7.0,14.4,45,2397.87711926466,181.265,82.3456616966954,PQ16/11.6
0.085,500,32.0,0.234,20.5,11.5,1.6,22.0,19.0,253,13.4,27.5,9,95.0130832347376,805.247,64.9440920026725,PQ32/20
0.081,40,20.5,1.753,16.2,10.3,2.12,14.0,12.5,538,8.8,18.0,26,1296.10240064394,537.147,45.4267596260165,PQ20/16
0.082,500,32.0,1.173,20.5,11.5,4.57,22.0,19.0,522,13.4,27.5,8,1952.64073830259,858.625,12.670003277710501,PQ32/20
0.079,100,16.4,1.308,11.6,6.7,1.69,11.2,9.6,564,7.0,14.4,22,1503.92957259846,171.072,26.9307065884158,PQ16/11.6
0.086,80,16.4,1.94,11.6,6.7,2.94,11.2,9.6,478,7.0,14.4,20,2547.4882433550097,178.381,16.0238012765587,PQ16/11.6
0.096,350,32.0,1.268,20.5,11.5,5.64,22.0,19.0,386,13.4,27.5,14,11240.1541029417,3221.57,36.360676775417296,PQ32/20
0.114,30,20.5,1.885,16.2,10.3,2.4,14.0,12.5,270,8.8,18.0,47,6238.9284457073,866.748,139.921083829749,PQ20/16
0.091,350,32.0,2.338,30.4,21.3,5.1,22.0,19.0,426,13.4,27.5,14,5160.0759333859005,1334.6899999999998,23.1015725985427,PQ32/30
0.083,300,35.1,2.25,34.8,25.0,5.18,26.0,23.5,511,14.3,32.0,13,3009.86543175675,2443.27,23.5445792852593,PQ35/35
0.169,250,50.0,1.104,50.0,36.1,9.86,32.5,31.5,124,20.0,44.0,10,3585.57343805169,5046.38,44.6477579295247,PQ50/50
0.134,350,40.5,1.275,30.3,20.0,13.07,28.0,28.0,198,14.9,37.0,9,8317.356538455631,5333.64,18.893278410136,PQ40/30
0.1,40,20.5,1.783,20.2,14.3,2.44,14.0,12.5,350,8.8,18.0,46,6469.37427472053,2162.18,145.938390742081,PQ20/20
0.2,50,35.1,2.374,34.8,25.0,11.3,26.0,23.5,45,14.3,32.0,26,6167.49125935341,1188.58,90.5086825008759,PQ35/35
0.141,100,32.0,0.742,30.4,21.3,4.44,22.0,19.0,178,13.4,27.5,15,1637.03798438152,2472.8,66.7141214355139,PQ32/30
0.078,120,20.5,1.082,16.2,10.3,1.31,14.0,12.5,587,8.8,18.0,24,1094.06032781904,392.416,57.3127964554155,PQ20/16
0.086,400,20.5,0.732,16.2,10.3,3.81,14.0,12.5,473,8.8,18.0,6,478.170093775706,264.202,4.93592984024898,PQ20/16
0.119,100,32.0,2.094,30.4,21.3,5.58,22.0,19.0,250,13.4,27.5,35,28332.874131287303,8685.63,157.57176687306,PQ32/30
0.121,60,35.1,1.865,34.8,25.0,2.1,26.0,23.5,240,14.3,32.0,77,20475.659439669,8974.6,955.259698058858,PQ35/35
0.13,350,50.0,2.326,40.0,26.1,13.17,32.0,31.5,208,20.0,44.0,17,49610.0936210673,17894.600000000002,69.5571272448644,PQ50/40
0.08,180,26.5,0.28,24.8,16.1,0.7,19.0,15.5,199,12.0,22.5,34,150.690262940841,1195.8999999999999,640.258550288099,PQ26/25
0.142,100,26.5,1.618,20.2,11.5,6.95,19.0,15.5,176,12.0,22.5,20,15030.8013915399,1499.33,48.9325301894769,PQ26/20
0.118,600,50.0,0.433,50.0,36.1,5.0,32.5,31.5,66,20.0,44.0,11,221.963660783091,2680.37,118.849838045112,PQ50/50
0.141,100,26.5,1.466,24.8,16.1,6.86,19.0,15.5,177,12.0,22.5,20,11779.0060185614,2432.15,54.5882938133144,PQ26/25
0.193,150,65.0,1.461,60.0,42.0,12.73,45.0,40.8,95,26.0,55.0,14,9543.28074397717,12485.2,111.686022547573,PQ65/60
0.154,120,32.0,0.893,30.4,21.3,6.77,22.0,19.0,148,13.4,27.5,12,2276.4024550189797,1995.1399999999999,36.6429958546836,PQ32/30
0.085,250,50.0,0.987,40.0,26.1,0.56,32.0,31.5,485,20.0,44.0,52,1951.96435988259,2477.64,1310.64900229729,PQ50/40
0.2,120,40.5,0.49,39.8,29.5,2.93,28.0,28.0,84,14.9,37.0,19,890.004681012079,1630.43,185.703839467411,PQ40/40
0.079,120,26.5,2.162,24.8,16.1,5.62,19.0,15.5,564,12.0,22.5,12,2158.52129099552,1374.42,14.3259386479533,PQ26/25
